t,IZY,IXZ_1,IZ_1Z_2,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.054285764694214,1191.617919921875,662.2650146484375,0.9412999749183655,0.9412000179290771,0.05870002508163452,0.05879998207092285,0.029999999329447746,0.029999999329447746
2,3.1680908203125,1092.244140625,634.0364990234375,0.965499997138977,0.9653000235557556,0.03450000286102295,0.034699976444244385,0.01720000058412552,0.01720000058412552
3,3.1975550651550293,1044.940673828125,631.4216918945312,0.9724000096321106,0.9721999764442444,0.027599990367889404,0.027800023555755615,0.016699999570846558,0.016699999570846558
4,3.207576036453247,1006.52587890625,605.940673828125,0.9747999906539917,0.9746000170707703,0.0252000093460083,0.025399982929229736,0.016300000250339508,0.016300000250339508
5,3.2036502361297607,970.9144897460938,597.4651489257812,0.9764999747276306,0.9765999913215637,0.023500025272369385,0.02340000867843628,0.021700000390410423,0.02160000056028366
6,3.195777654647827,954.6615600585938,564.8299560546875,0.972000002861023,0.972000002861023,0.02799999713897705,0.02799999713897705,0.02239999920129776,0.02239999920129776
7,3.194917678833008,917.5601196289062,567.597900390625,0.9753999710083008,0.975600004196167,0.02460002899169922,0.024399995803833008,0.04309999942779541,0.043299999088048935
8,3.226196527481079,904.3756713867188,544.1527099609375,0.9804999828338623,0.980400025844574,0.019500017166137695,0.019599974155426025,0.050700001418590546,0.050700001418590546
9,3.2264137268066406,874.167724609375,538.7933349609375,0.9812999963760376,0.9812999963760376,0.018700003623962402,0.018700003623962402,0.09510000050067902,0.09529999643564224
10,3.194495439529419,856.5247802734375,524.110595703125,0.9771000146865845,0.9771000146865845,0.022899985313415527,0.022899985313415527,0.10090000182390213,0.10170000046491623
11,3.213578939437866,842.8280639648438,506.4136047363281,0.9804999828338623,0.980400025844574,0.019500017166137695,0.019599974155426025,0.09399999678134918,0.09369999915361404
12,3.1991946697235107,827.307373046875,493.11834716796875,0.9775999784469604,0.9779000282287598,0.02240002155303955,0.022099971771240234,0.10589999705553055,0.10639999806880951
13,3.2063844203948975,808.9166259765625,482.08050537109375,0.9800000190734863,0.9800000190734863,0.019999980926513672,0.019999980926513672,0.12160000205039978,0.12229999899864197
14,3.2147393226623535,789.04345703125,475.71380615234375,0.9803000092506409,0.980400025844574,0.01969999074935913,0.019599974155426025,0.11379999667406082,0.11420000344514847
15,3.2077419757843018,764.2916259765625,466.26983642578125,0.9807999730110168,0.9804999828338623,0.019200026988983154,0.019500017166137695,0.16300000250339508,0.16300000250339508
16,3.214914083480835,752.9035034179688,453.0898742675781,0.9805999994277954,0.9807000160217285,0.01940000057220459,0.019299983978271484,0.14270000159740448,0.14300000667572021
17,3.2133049964904785,723.3714599609375,444.8792419433594,0.982200026512146,0.9822999835014343,0.017799973487854004,0.017700016498565674,0.18639999628067017,0.18610000610351562
18,3.215574026107788,707.6651611328125,426.6632080078125,0.9815000295639038,0.9812999963760376,0.01849997043609619,0.018700003623962402,0.14309999346733093,0.14350000023841858
19,3.2121846675872803,687.7222290039062,428.38397216796875,0.983299970626831,0.9832000136375427,0.016700029373168945,0.016799986362457275,0.19460000097751617,0.19470000267028809
20,3.1774444580078125,657.892578125,436.9889831542969,0.9789999723434448,0.979200005531311,0.021000027656555176,0.020799994468688965,0.2160000056028366,0.2176000028848648
21,3.2204697132110596,647.1544799804688,410.0321044921875,0.9829000234603882,0.982699990272522,0.017099976539611816,0.017300009727478027,0.20909999310970306,0.20909999310970306
22,3.211141586303711,632.7294311523438,394.501953125,0.9825999736785889,0.9825000166893005,0.017400026321411133,0.017499983310699463,0.2215999960899353,0.22139999270439148
23,3.213191032409668,613.31494140625,386.261962890625,0.9825999736785889,0.9829999804496765,0.017400026321411133,0.017000019550323486,0.22030000388622284,0.22110000252723694
24,3.216099739074707,600.1312255859375,381.81146240234375,0.9835000038146973,0.9835000038146973,0.016499996185302734,0.016499996185302734,0.23019999265670776,0.23109999299049377
25,3.2089905738830566,593.5360107421875,379.0526428222656,0.9825000166893005,0.9825000166893005,0.017499983310699463,0.017499983310699463,0.22390000522136688,0.2222999930381775
26,3.218766927719116,549.0977172851562,379.58282470703125,0.9848999977111816,0.9850000143051147,0.01510000228881836,0.014999985694885254,0.25429999828338623,0.25429999828338623
27,3.2088446617126465,597.9566040039062,360.0068054199219,0.9805999994277954,0.980400025844574,0.01940000057220459,0.019599974155426025,0.19059999287128448,0.1898999959230423
28,3.187511682510376,544.7158813476562,370.175048828125,0.9810000061988831,0.9811000227928162,0.018999993801116943,0.018899977207183838,0.27140000462532043,0.27160000801086426
29,3.2169337272644043,533.7380981445312,374.0524597167969,0.9840999841690063,0.9842000007629395,0.015900015830993652,0.015799999237060547,0.28850001096725464,0.28929999470710754
30,3.2085049152374268,538.4351806640625,352.79376220703125,0.9836000204086304,0.9836000204086304,0.01639997959136963,0.01639997959136963,0.27790001034736633,0.27799999713897705
31,3.207803964614868,498.5187072753906,364.063720703125,0.9850000143051147,0.9848999977111816,0.014999985694885254,0.01510000228881836,0.30379998683929443,0.3052999973297119
32,3.2169382572174072,491.0660400390625,351.38055419921875,0.984000027179718,0.9843999743461609,0.015999972820281982,0.015600025653839111,0.31040000915527344,0.31520000100135803
33,3.1823933124542236,489.6768798828125,352.9591064453125,0.9801999926567078,0.980400025844574,0.019800007343292236,0.019599974155426025,0.27410000562667847,0.2759999930858612
34,3.1925694942474365,471.5899963378906,337.7110595703125,0.982200026512146,0.9821000099182129,0.017799973487854004,0.01789999008178711,0.2922999858856201,0.2935999929904938
35,3.2076878547668457,465.399169921875,330.9891052246094,0.984499990940094,0.9843999743461609,0.015500009059906006,0.015600025653839111,0.2946000099182129,0.2978000044822693
36,3.2050702571868896,456.7135009765625,327.9978332519531,0.9836999773979187,0.9843999743461609,0.0163000226020813,0.015600025653839111,0.31949999928474426,0.32339999079704285
37,3.2001521587371826,423.7099609375,335.5049133300781,0.9858999848365784,0.9861000180244446,0.01410001516342163,0.01389998197555542,0.34150001406669617,0.34529998898506165
38,3.195439577102661,460.4141845703125,314.8992614746094,0.9821000099182129,0.9822999835014343,0.01789999008178711,0.017700016498565674,0.26499998569488525,0.26980000734329224
39,3.2253737449645996,423.96038818359375,310.67303466796875,0.9864000082015991,0.9865000247955322,0.013599991798400879,0.013499975204467773,0.34360000491142273,0.34850001335144043
40,3.1820123195648193,421.890869140625,317.5190124511719,0.9807999730110168,0.9805999994277954,0.019200026988983154,0.01940000057220459,0.3206999897956848,0.326200008392334
41,3.206423759460449,392.1162109375,318.28466796875,0.9854000210762024,0.9854000210762024,0.014599978923797607,0.014599978923797607,0.38019999861717224,0.388700008392334
42,3.1535449028015137,386.75567626953125,357.1884765625,0.9776999950408936,0.9776999950408936,0.022300004959106445,0.022300004959106445,0.42489999532699585,0.43849998712539673
43,3.2119243144989014,377.8120422363281,315.9515380859375,0.9854999780654907,0.9854000210762024,0.014500021934509277,0.014599978923797607,0.37049999833106995,0.37959998846054077
44,3.15690279006958,415.4962158203125,304.9267883300781,0.9768000245094299,0.9765999913215637,0.02319997549057007,0.02340000867843628,0.2483000010251999,0.2554999887943268
45,3.1958837509155273,383.533935546875,302.8449401855469,0.9815000295639038,0.9812999963760376,0.01849997043609619,0.018700003623962402,0.3422999978065491,0.3546000123023987
46,3.1958606243133545,383.7425231933594,305.7132263183594,0.9824000000953674,0.9828000068664551,0.01759999990463257,0.017199993133544922,0.3691999912261963,0.38019999861717224
47,3.215663433074951,347.245361328125,305.7802429199219,0.986299991607666,0.9864000082015991,0.013700008392333984,0.013599991798400879,0.4383000135421753,0.45329999923706055
48,3.203990936279297,351.3059387207031,301.2007751464844,0.9840999841690063,0.9842000007629395,0.015900015830993652,0.015799999237060547,0.38350000977516174,0.39640000462532043
49,3.2138631343841553,353.3679504394531,289.8572998046875,0.9857000112533569,0.98580002784729,0.014299988746643066,0.014199972152709961,0.3327000141143799,0.3422999978065491
50,3.2313318252563477,357.70269775390625,289.51251220703125,0.9866999983787537,0.9865000247955322,0.013300001621246338,0.013499975204467773,0.351500004529953,0.36010000109672546
51,3.2209277153015137,320.2000427246094,315.2349853515625,0.9872000217437744,0.9872000217437744,0.012799978256225586,0.012799978256225586,0.43970000743865967,0.45879998803138733
52,3.2288851737976074,334.1441955566406,299.55657958984375,0.9876000285148621,0.9876000285148621,0.01239997148513794,0.01239997148513794,0.4129999876022339,0.42570000886917114
53,3.2182788848876953,310.82855224609375,302.68963623046875,0.9872000217437744,0.9872000217437744,0.012799978256225586,0.012799978256225586,0.4514999985694885,0.46389999985694885
54,3.221344470977783,289.5709533691406,296.4718017578125,0.9868000149726868,0.9868000149726868,0.013199985027313232,0.013199985027313232,0.45980000495910645,0.4758000075817108
