  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
     70   3.14    15.47      16.45  0.9829     0.9848  0.0171     0.0152     0.4229         0.4390
     71   3.16    15.75      15.72  0.9850     0.9866  0.0150     0.0134     0.4330         0.4488
     72   3.16    14.30      15.28  0.9830     0.9853  0.0170     0.0147     0.5133         0.5305
     73   3.14    14.76      16.22  0.9822     0.9842  0.0178     0.0158     0.4757         0.4854
     74   3.12    14.95      16.06  0.9809     0.9828  0.0191     0.0172     0.4708         0.4833
     75   3.18    14.67      15.99  0.9846     0.9870  0.0154     0.0130     0.4353         0.4462
     76   3.13    14.82      15.53  0.9819     0.9841  0.0181     0.0159     0.3855         0.3970
     77   3.14    14.67      15.55  0.9831     0.9848  0.0169     0.0152     0.4477         0.4564
     78   3.13    14.00      15.22  0.9813     0.9848  0.0187     0.0152     0.4467         0.4621
     79   3.15    15.07      15.93  0.9838     0.9849  0.0162     0.0151     0.3484         0.3566
     80   3.12    14.10      15.72  0.9800     0.9829  0.0200     0.0171     0.4146         0.4262
     81   3.13    14.78      15.77  0.9814     0.9834  0.0186     0.0166     0.3476         0.3551
     82   3.15    14.18      15.20  0.9847     0.9853  0.0153     0.0147     0.3779         0.3865
     83   3.11    14.57      15.89  0.9810     0.9818  0.0190     0.0182     0.3825         0.3896
     84   3.16    13.81      14.99  0.9851     0.9861  0.0149     0.0139     0.3781         0.3883
     85   3.11    13.85      14.95  0.9798     0.9826  0.0202     0.0174     0.3745         0.3866
     86   3.15    13.75      15.22  0.9829     0.9859  0.0171     0.0141     0.4361         0.4470
     87   3.15    14.39      15.68  0.9837     0.9849  0.0163     0.0151     0.3948         0.4036
     88   3.12    14.17      14.91  0.9811     0.9831  0.0189     0.0169     0.3930         0.4085
     89   3.13    13.78      14.93  0.9804     0.9835  0.0196     0.0165     0.3725         0.3823
     90   3.14    13.29      14.78  0.9825     0.9847  0.0175     0.0153     0.3939         0.4035
