  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
     70   3.21   106.25     107.61  0.9852     0.9855  0.0148     0.0145     0.1815         0.2140
     71   3.21    94.34     103.26  0.9855     0.9854  0.0145     0.0146     0.1927         0.2351
     72   3.21    89.78      99.12  0.9849     0.9850  0.0151     0.0150     0.2000         0.2368
     73   3.22    84.29      98.71  0.9866     0.9870  0.0134     0.0130     0.2006         0.2360
     74   3.22   133.87     105.14  0.9849     0.9850  0.0151     0.0150     0.1391         0.1658
     75   3.22   120.34     101.98  0.9864     0.9860  0.0136     0.0140     0.1459         0.1731
     76   3.22   108.39     101.93  0.9860     0.9861  0.0140     0.0139     0.1588         0.1908
     77   3.21   108.91     104.95  0.9848     0.9850  0.0152     0.0150     0.1725         0.2063
     78   3.21    97.30     101.58  0.9854     0.9851  0.0146     0.0149     0.1999         0.2352
     79   3.21    90.43      98.39  0.9855     0.9853  0.0145     0.0147     0.1971         0.2317
     80   3.22    86.25      96.00  0.9862     0.9864  0.0138     0.0136     0.2164         0.2584
     81   3.19   103.64      98.51  0.9827     0.9832  0.0173     0.0168     0.1957         0.2306
     82   3.21   107.44     102.16  0.9843     0.9846  0.0157     0.0154     0.1861         0.2167
     83   3.21    94.72      98.79  0.9864     0.9864  0.0136     0.0136     0.2027         0.2434
     84   3.21    90.74      95.15  0.9865     0.9868  0.0135     0.0132     0.2006         0.2317
     85   3.22    89.87      93.65  0.9864     0.9866  0.0136     0.0134     0.1939         0.2236
     86   3.20   122.55     102.48  0.9846     0.9848  0.0154     0.0152     0.1441         0.1655
     87   3.19   110.03     103.46  0.9833     0.9834  0.0167     0.0166     0.2054         0.2494
     88   3.21    95.46      95.43  0.9851     0.9852  0.0149     0.0148     0.1995         0.2342
     89   3.21    89.41      93.60  0.9862     0.9865  0.0138     0.0135     0.2109         0.2474
     90   3.21   126.16      98.24  0.9851     0.9850  0.0149     0.0150     0.1451         0.1657
     91   3.20   107.46      97.49  0.9844     0.9847  0.0156     0.0153     0.2003         0.2335
     92   3.21   120.78      99.55  0.9849     0.9855  0.0151     0.0145     0.1633         0.1867
     93   3.21    98.73      96.81  0.9860     0.9859  0.0140     0.0141     0.1855         0.2145
     94   3.22    99.92      97.34  0.9863     0.9864  0.0137     0.0136     0.1910         0.2260
     95   3.22    87.96      94.69  0.9865     0.9866  0.0135     0.0134     0.2054         0.2483
     96   3.22    95.84      96.68  0.9864     0.9865  0.0136     0.0135     0.1952         0.2336
     97   3.21    80.00      91.11  0.9858     0.9859  0.0142     0.0141     0.2330         0.2728
     98   3.21    92.63      95.37  0.9861     0.9859  0.0139     0.0141     0.1966         0.2311
     99   3.20    96.03      93.38  0.9850     0.9849  0.0150     0.0151     0.2041         0.2359
    100   3.19    88.14      91.85  0.9845     0.9844  0.0155     0.0156     0.2211         0.2655
    101   3.21    79.17      90.55  0.9856     0.9858  0.0144     0.0142     0.2328         0.2809
    102   3.21    74.64      89.34  0.9861     0.9862  0.0139     0.0138     0.2411         0.2877
    103   3.21    70.54      87.01  0.9865     0.9865  0.0135     0.0135     0.2482         0.2930
    104   3.21    74.48      85.28  0.9861     0.9862  0.0139     0.0138     0.2465         0.2874
