  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
     64   2.92    10.83      11.51       6.92  0.9308     0.9723  0.0692     0.0277     0.1238         0.1267
     65   2.90    10.58      10.94       6.78  0.9260     0.9701  0.0740     0.0299     0.1331         0.1386
     66   2.94    11.04      11.46       6.87  0.9337     0.9739  0.0663     0.0261     0.1339         0.1387
     67   2.93    10.87      10.84       6.78  0.9299     0.9733  0.0701     0.0267     0.1366         0.1393
     68   2.91    10.03      10.44       6.74  0.9254     0.9713  0.0746     0.0287     0.1362         0.1394
     69   2.89     9.94      10.30       6.60  0.9251     0.9712  0.0749     0.0288     0.1576         0.1620
     70   2.88    10.60      10.43       6.80  0.9265     0.9670  0.0735     0.0330     0.1562         0.1619
     71   2.90     9.74       9.99       6.60  0.9269     0.9713  0.0731     0.0287     0.1424         0.1482
     72   2.93    10.20      10.29       6.77  0.9343     0.9715  0.0657     0.0285     0.1313         0.1348
     73   2.90     9.84       9.39       6.64  0.9267     0.9730  0.0733     0.0270     0.1449         0.1496
     74   2.94    10.57       9.90       6.74  0.9357     0.9745  0.0643     0.0255     0.1308         0.1331
     75   2.92     9.66       8.63       6.68  0.9344     0.9736  0.0656     0.0264     0.1412         0.1405
     76   2.93    10.03       8.76       6.62  0.9352     0.9729  0.0648     0.0271     0.1366         0.1388
     77   2.91     9.54       8.32       6.43  0.9298     0.9727  0.0702     0.0273     0.1439         0.1488
     78   2.88     9.08       8.08       6.29  0.9245     0.9695  0.0755     0.0305     0.1525         0.1553
     79   2.87     9.88       8.14       6.25  0.9232     0.9677  0.0768     0.0323     0.1498         0.1554
     80   2.91     9.56       7.98       6.45  0.9325     0.9735  0.0675     0.0265     0.1499         0.1534
     81   2.91     9.34       8.35       6.40  0.9254     0.9718  0.0746     0.0282     0.1551         0.1588
     82   2.92     9.49       8.00       6.42  0.9276     0.9736  0.0724     0.0264     0.1434         0.1461
     83   2.92     9.19       8.06       6.35  0.9321     0.9741  0.0679     0.0259     0.1652         0.1680
     84   2.91     9.32       7.72       6.32  0.9346     0.9733  0.0654     0.0267     0.1741         0.1764
     85   2.91     9.05       7.87       6.25  0.9320     0.9729  0.0680     0.0271     0.1757         0.1841
     86   2.93     9.41       8.08       6.34  0.9342     0.9733  0.0658     0.0267     0.1914         0.2026
     87   2.90     8.93       7.70       6.45  0.9305     0.9686  0.0695     0.0314     0.1580         0.1638
     88   2.95     8.56       7.84       6.30  0.9367     0.9747  0.0633     0.0253     0.1627         0.1698
     89   2.90     8.92       8.27       6.31  0.9277     0.9697  0.0723     0.0303     0.1886         0.1915
     90   2.94     8.58       7.74       6.37  0.9360     0.9731  0.0640     0.0269     0.1778         0.1805
     91   2.92     8.49       7.67       6.28  0.9369     0.9744  0.0631     0.0256     0.1869         0.1903
     92   2.93     8.63       7.35       6.10  0.9333     0.9750  0.0667     0.0250     0.2123         0.2206
     93   2.91     8.41       7.47       6.16  0.9318     0.9748  0.0682     0.0252     0.2041         0.2143
     94   2.90     8.19       7.51       6.23  0.9318     0.9717  0.0682     0.0283     0.1926         0.1985
     95   2.95     8.21       7.39       6.25  0.9360     0.9746  0.0640     0.0254     0.2085         0.2192
     96   2.93     8.56       7.43       6.12  0.9364     0.9741  0.0636     0.0259     0.2184         0.2251
     97   2.95     8.43       7.35       6.21  0.9338     0.9751  0.0662     0.0249     0.2197         0.2316
     98   2.92     8.05       7.30       6.15  0.9327     0.9727  0.0673     0.0273     0.2107         0.2225
     99   2.94     8.24       7.27       6.16  0.9357     0.9732  0.0643     0.0268     0.2073         0.2147
    100   2.95     8.01       7.30       6.16  0.9387     0.9740  0.0613     0.0260     0.2201         0.2304
    101   2.91     8.08       7.18       6.14  0.9312     0.9721  0.0688     0.0279     0.2229         0.2370
