t,IZY,IXZ_1,IZ_1Z_2,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,2.9973599910736084,102.61662292480469,62.57085418701172,0.9347000122070312,0.9435999989509583,0.06529998779296875,0.05640000104904175,0.0478999987244606,0.04910000041127205
2,3.1225972175598145,94.98255920410156,64.00200653076172,0.9605000019073486,0.9635000228881836,0.03949999809265137,0.036499977111816406,0.040300000458955765,0.04179999977350235
3,3.068065881729126,63.831809997558594,50.73026657104492,0.9496999979019165,0.9584000110626221,0.050300002098083496,0.04159998893737793,0.08370000123977661,0.09480000287294388
4,3.163867712020874,53.387062072753906,44.85832977294922,0.9708999991416931,0.9739000201225281,0.029100000858306885,0.026099979877471924,0.08169999718666077,0.09730000048875809
5,3.1461117267608643,56.56135559082031,46.337554931640625,0.9664000272750854,0.9682999849319458,0.03359997272491455,0.0317000150680542,0.07500000298023224,0.08389999717473984
6,3.1236534118652344,43.25750732421875,46.78925323486328,0.963100016117096,0.9710999727249146,0.03689998388290405,0.02890002727508545,0.1370999962091446,0.1687999963760376
7,3.1110527515411377,36.89300537109375,40.8395881652832,0.9646000266075134,0.972100019454956,0.03539997339248657,0.027899980545043945,0.17030000686645508,0.20239999890327454
8,3.186429500579834,37.632537841796875,36.82954025268555,0.9778000116348267,0.979200005531311,0.02219998836517334,0.020799994468688965,0.1761000007390976,0.20659999549388885
9,3.2057390213012695,44.19792938232422,40.2354736328125,0.9800999760627747,0.9801999926567078,0.019900023937225342,0.019800007343292236,0.2168000042438507,0.23070000112056732
10,3.168440580368042,37.848968505859375,36.00495147705078,0.9761000275611877,0.9785000085830688,0.023899972438812256,0.021499991416931152,0.2623000144958496,0.3052999973297119
11,3.1834757328033447,36.5301628112793,34.69303512573242,0.9786999821662903,0.9796000123023987,0.021300017833709717,0.02039998769760132,0.31769999861717224,0.3474999964237213
12,3.133531093597412,35.05470275878906,34.337608337402344,0.9714000225067139,0.9711999893188477,0.028599977493286133,0.028800010681152344,0.28850001096725464,0.3156999945640564
13,3.165606737136841,33.33887481689453,32.53501510620117,0.975600004196167,0.9786999821662903,0.024399995803833008,0.021300017833709717,0.3578000068664551,0.3944000005722046
14,3.1923742294311523,33.56114959716797,31.247465133666992,0.9804999828338623,0.9818000197410583,0.019500017166137695,0.01819998025894165,0.4101000130176544,0.4487999975681305
